gene,scores,log2FC,pvalue,padj,is_zinc
PARP8,17.434069,1.0422914,4.549047757166774e-68,6.863325777440357e-66,False
STIM1,17.429506,1.2305808,4.9269685081253e-68,7.411774146375158e-66,False
FNBP4,17.42802,0.80177903,5.05669853126926e-68,7.584752945677577e-66,False
MEF2A,17.425066,1.05852,5.324773339581328e-68,7.96363194112733e-66,False
ATP11B,17.389866,1.4535358,9.846541949756503e-68,1.4683620006697756e-65,False
NEDD9,17.382322,1.2774583,1.1231141528241071e-67,1.6699993333668976e-65,False
SMARCC1,17.362406,1.1309768,1.5892376848477792e-67,2.356285314410621e-65,False
PLEKHA2,17.351307,1.0714008,1.9280931511789175e-67,2.850475185110717e-65,False
ANKRD11,17.310516,1.0105951,3.9188951740946313e-67,5.777057848619501e-65,False
CUX1,17.309208,1.0993756,4.008970745819751e-67,5.892957912312416e-65,False
MON2,17.30506,1.3581805,4.308345175630062e-67,6.314978421533203e-65,False
ATG7,17.29854,1.5210288,4.824619246838001e-67,7.051619631003451e-65,False
GNB1,17.289608,1.1723669,5.633381787265424e-67,8.210374679638287e-65,False
WNK1,17.252665,1.0845455,1.068573134701934e-66,1.5529929557668107e-64,False
TLK1,17.19249,0.98433304,3.022707561754984e-66,4.36832187183063e-64,False
NFAT5,17.181572,1.3191216,3.6488991526095967e-66,5.258503182169707e-64,False
STX7,17.167458,0.8738413,4.6535681784818044e-66,6.68761943146737e-64,False
FLI1,17.159525,0.7199212,5.334855207215467e-66,7.645337902529843e-64,False
DYRK1A,17.1333,1.5240401,8.376493012652579e-66,1.1970939236526385e-63,False
IKZF3,17.130821,0.87076133,8.741127904841537e-66,1.2457439015188018e-63,False
UBAC2,17.121494,0.827297,1.0260855618855222e-65,1.4582886736985178e-63,False
PHTF2,17.115582,1.2211641,1.1357448310247803e-65,1.609691461888785e-63,False
ZHX2,17.11492,1.5808042,1.1487226852710779e-65,1.6236122173578685e-63,False
USP25,17.086338,1.5126501,1.8758725272590845e-65,2.644106569381517e-63,False
POU2F2,17.06656,0.7354203,2.632571413747171e-65,3.6804492960452297e-63,False
CHD1,17.06517,0.99098533,2.6959871487429774e-65,3.7556485475495396e-63,False
MARK3,17.065063,1.16275,2.7009601201083224e-65,3.7556485475495396e-63,False
ZFP36L2,17.059677,0.6189833,2.9618507940387176e-65,4.107312659075578e-63,False
SEPTIN6,17.035997,0.7273032,4.441086725805114e-65,6.14207069540918e-63,False
VAV3,17.02165,1.478898,5.6747521658030795e-65,7.827202397486242e-63,False
CLASP2,17.002707,1.329322,7.84152278378457e-65,1.0786916154549428e-62,False
PUM1,16.989378,1.106324,9.842818232935603e-65,1.3503821665281893e-62,False
ZC3HAV1,16.988787,0.7656498,9.942356955243314e-65,1.3604105867908457e-62,False
TNRC6A,16.988039,1.2379684,1.006989363486441e-64,1.374206598744043e-62,False
CHD2,16.964218,0.79339623,1.5109679151667982e-64,2.056515272473583e-62,False
ITCH,16.938229,1.2318147,2.350969323979542e-64,3.191363318736134e-62,False
PPP1R10,16.914986,1.223105,3.488963227686895e-64,4.723688951000932e-62,False
ARHGAP24,16.89951,0.9673208,4.536680406046614e-64,6.126066496857905e-62,False
DIP2B,16.874422,1.2264732,6.940043176665618e-64,9.346893752698763e-62,False
YME1L1,16.79261,0.92398477,2.7641204557399757e-63,3.7130148617992236e-61,False
MAP3K2,16.791235,1.2763565,2.8289288791042726e-63,3.7901753378165785e-61,False
ATXN1,16.774609,1.5186988,3.743117355675658e-63,5.001971473111721e-61,False
SCFD1,16.724947,1.1349058,8.625268311821978e-63,1.1496186634886456e-60,False
CHD9,16.714355,0.9326855,1.03029249398568e-62,1.369676698464477e-60,False
PRDM2,16.687416,0.973525,1.618254196358161e-62,2.1457716983050172e-60,False
PHF21A,16.672083,1.4030478,2.0917929556639867e-62,2.76654406125966e-60,False
GRK3,16.657152,1.867929,2.685102832466001e-62,3.5421325775566873e-60,False
SRRM2,16.626333,0.7126265,4.4925541017741165e-62,5.911327964912398e-60,False
PKN2,16.615568,1.2127204,5.376312000178392e-62,7.056135198601478e-60,False
HERC4,16.610163,1.0382793,5.883302276120791e-62,7.701886399538485e-60,False
STK38,16.600578,0.8689539,6.902334206535436e-62,9.012976910097338e-60,False
TLE4,16.60021,1.1704271,6.94480385277409e-62,9.04547515487396e-60,False
NFKB1,16.594158,1.3790298,7.681240328550718e-62,9.979405364224176e-60,False
CDC14A,16.575186,1.5074701,1.0533584197031159e-61,1.3650676064706777e-59,False
ARID5B,16.555937,0.81391114,1.4506683733611634e-61,1.8752257907709832e-59,False
PTPRJ,16.524782,1.6649891,2.433179689198652e-61,3.137399214283014e-59,False
SLC26A3,16.514465,1.7894119,2.8870533046128363e-61,3.7040677909157406e-59,False
ZNF644,16.49951,1.0965859,3.698844299716277e-61,4.722038251409504e-59,False
DYM,16.493382,1.1097361,4.0938857152663186e-61,5.203768346310251e-59,False
RASGEF1B,16.493343,1.717605,4.09642003626118e-61,5.203768346310251e-59,False
ATR,16.480476,1.4599175,5.0684275668012855e-61,6.422671464453019e-59,False
ZSWIM6,16.475601,1.855026,5.4939727175768446e-61,6.944813473560037e-59,False
TRIO,16.46309,1.542379,6.756093812244078e-61,8.519301824812092e-59,False
WIPF1,16.4015,0.6525578,1.8656979560474313e-60,2.3468564411425e-58,False
BANK1,16.400192,0.9033031,1.906319960304649e-60,2.3921060809208192e-58,False
PHIP,16.370308,0.7941444,3.116307086398296e-60,3.900918904647677e-58,False
SETD5,16.348234,1.156489,4.4776904873007413e-60,5.5914616551128284e-58,False
PIBF1,16.316624,1.3133285,7.518087653817525e-60,9.365389191612687e-58,False
ASAP1,16.283474,1.4616004,1.2931511141617342e-59,1.6070057613863018e-57,False
NUMB,16.248463,1.0399024,2.2903853532682105e-59,2.8394155579504313e-57,False
GRB2,16.247929,0.6095101,2.310404323075642e-59,2.857348115711434e-57,False
ADAM10,16.24428,1.0710498,2.452013376355628e-59,3.025208253878762e-57,False
GATAD2B,16.211994,1.2916663,4.148836118321423e-59,5.106443076923458e-57,False
ARFGEF1,16.170399,1.2847315,8.156944592887365e-59,1.0015715642359644e-56,False
HDAC9,16.16384,1.200639,9.073146550560936e-59,1.11141724698395e-56,False
CNTRL,16.153696,0.91823405,1.069563936343032e-58,1.3070528597856608e-56,False
WDR70,16.133886,1.2844557,1.4744303385491149e-58,1.7932976845786019e-56,False
USP47,16.131466,1.0983094,1.5333565358218767e-58,1.8605690343151866e-56,False
KIAA2026,16.11407,1.2817932,2.0319814111036226e-58,2.459797167963745e-56,False
